"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 15:56:39 GMT 2024","Thu Oct 24 15:56:42 GMT 2024","2557","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","Verify that base URL and the page title matches the expected results."
"passed","Thu Oct 24 15:56:42 GMT 2024","Thu Oct 24 15:56:42 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Thu Oct 24 15:55:32 GMT 2024","Thu Oct 24 15:55:36 GMT 2024","3706","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationDesktopMenu","TC-04 Verify that all tabs of Desktop dropdown menu work correctly as expected","C-04 Verify that all tabs of Desktop dropdown menu work correctly as expected"
"passed","Thu Oct 24 15:55:59 GMT 2024","Thu Oct 24 15:56:03 GMT 2024","3899","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Thu Oct 24 15:56:19 GMT 2024","Thu Oct 24 15:56:23 GMT 2024","3291","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Thu Oct 24 15:56:26 GMT 2024","Thu Oct 24 15:56:29 GMT 2024","3546","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Thu Oct 24 15:56:26 GMT 2024","Thu Oct 24 15:56:30 GMT 2024","3384","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"unknown","Thu Oct 24 15:55:29 GMT 2024","Thu Oct 24 15:55:29 GMT 2024","2","CrossBrowser Test Suite","FirefoxTest","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Thu Oct 24 15:56:33 GMT 2024","Thu Oct 24 15:56:36 GMT 2024","3571","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Thu Oct 24 15:55:39 GMT 2024","Thu Oct 24 15:55:43 GMT 2024","3498","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationDesktopMenu","TC-04 Verify that all tabs of Desktop dropdown menu work correctly as expected","C-04 Verify that all tabs of Desktop dropdown menu work correctly as expected"
