"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 23 09:16:56 GMT 2024","Wed Oct 23 09:16:56 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"passed","Wed Oct 23 09:16:55 GMT 2024","Wed Oct 23 09:16:56 GMT 2024","1235","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","testOpenBaseURL","Verify that base URL and the page title matches the expected results."
"unknown","Wed Oct 23 09:16:54 GMT 2024","Wed Oct 23 09:16:54 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
