"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 01 12:18:29 GMT 2024","Fri Nov 01 12:18:35 GMT 2024","5675","Regression","Regression Test Run on FireFox","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testAppleCinemaPath","Verify breadcrumbs",""
"passed","Fri Nov 01 12:18:32 GMT 2024","Fri Nov 01 12:18:36 GMT 2024","3929","Regression","Regression Test Run on FireFox","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Fri Nov 01 12:18:10 GMT 2024","Fri Nov 01 12:18:13 GMT 2024","2903","Regression","Regression Test Run on FireFox","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","Verify that base URL and the page title matches the expected results."
"passed","Fri Nov 01 12:17:52 GMT 2024","Fri Nov 01 12:17:57 GMT 2024","5433","Regression","Regression Test Run on Chrome","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testAppleCinemaName","Verify product name",""
"passed","Fri Nov 01 12:17:51 GMT 2024","Fri Nov 01 12:17:55 GMT 2024","3803","Regression","Regression Test Run on Chrome","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Fri Nov 01 12:17:43 GMT 2024","Fri Nov 01 12:17:47 GMT 2024","3898","Regression","Regression Test Run on Chrome","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Fri Nov 01 12:18:10 GMT 2024","Fri Nov 01 12:18:14 GMT 2024","3891","Regression","Regression Test Run on FireFox","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Fri Nov 01 12:17:59 GMT 2024","Fri Nov 01 12:18:05 GMT 2024","6620","Regression","Regression Test Run on Chrome","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testRequiredFields","Verify required fields in adding to shopping cart",""
"passed","Fri Nov 01 12:17:52 GMT 2024","Fri Nov 01 12:17:56 GMT 2024","4146","Regression","Regression Test Run on Chrome","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Fri Nov 01 12:18:09 GMT 2024","Fri Nov 01 12:18:12 GMT 2024","3666","Regression","Regression Test Run on FireFox","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
