"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 30 17:20:50 GMT 2024","Wed Oct 30 17:20:54 GMT 2024","3816","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Wed Oct 30 17:21:51 GMT 2024","Wed Oct 30 17:21:56 GMT 2024","5086","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testAppleCinemaPath","testAppleCinemaPath",""
"passed","Wed Oct 30 17:21:59 GMT 2024","Wed Oct 30 17:22:05 GMT 2024","6098","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testRedirectionToBrand","testRedirectionToBrand",""
"passed","Wed Oct 30 17:20:41 GMT 2024","Wed Oct 30 17:20:45 GMT 2024","3931","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Wed Oct 30 17:20:34 GMT 2024","Wed Oct 30 17:20:38 GMT 2024","4022","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Wed Oct 30 17:21:12 GMT 2024","Wed Oct 30 17:21:16 GMT 2024","3344","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"unknown","Wed Oct 30 17:20:14 GMT 2024","Wed Oct 30 17:20:14 GMT 2024","0","CrossBrowser Test Suite","FirefoxTest","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Wed Oct 30 17:21:24 GMT 2024","Wed Oct 30 17:21:28 GMT 2024","3383","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Wed Oct 30 17:20:20 GMT 2024","Wed Oct 30 17:20:24 GMT 2024","4050","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationDesktopMenu","TC-04 Verify that all tabs of Desktop dropdown menu work correctly as expected","C-04 Verify that all tabs of Desktop dropdown menu work correctly as expected"
"passed","Wed Oct 30 17:20:29 GMT 2024","Wed Oct 30 17:20:33 GMT 2024","4094","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Wed Oct 30 17:21:00 GMT 2024","Wed Oct 30 17:21:03 GMT 2024","3908","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Wed Oct 30 17:22:05 GMT 2024","Wed Oct 30 17:22:05 GMT 2024","0","CrossBrowser Test Suite","FirefoxTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Wed Oct 30 17:20:38 GMT 2024","Wed Oct 30 17:20:42 GMT 2024","3759","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Wed Oct 30 17:21:22 GMT 2024","Wed Oct 30 17:21:28 GMT 2024","6606","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testRedirectionToBrand","testRedirectionToBrand",""
"passed","Wed Oct 30 17:21:18 GMT 2024","Wed Oct 30 17:21:22 GMT 2024","3439","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"unknown","Wed Oct 30 17:20:14 GMT 2024","Wed Oct 30 17:20:14 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testFail","testFail",""
"unknown","Wed Oct 30 17:20:14 GMT 2024","Wed Oct 30 17:20:14 GMT 2024","1","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testRequiredFields","testRequiredFields",""
"passed","Wed Oct 30 17:20:24 GMT 2024","Wed Oct 30 17:20:29 GMT 2024","4437","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Wed Oct 30 17:21:10 GMT 2024","Wed Oct 30 17:21:15 GMT 2024","5651","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testAppleCinemaName","testAppleCinemaName",""
"passed","Wed Oct 30 17:20:28 GMT 2024","Wed Oct 30 17:20:32 GMT 2024","3677","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationDesktopMenu","TC-04 Verify that all tabs of Desktop dropdown menu work correctly as expected","C-04 Verify that all tabs of Desktop dropdown menu work correctly as expected"
"passed","Wed Oct 30 17:21:28 GMT 2024","Wed Oct 30 17:21:28 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Wed Oct 30 17:20:55 GMT 2024","Wed Oct 30 17:20:59 GMT 2024","3955","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Wed Oct 30 17:20:42 GMT 2024","Wed Oct 30 17:20:46 GMT 2024","3983","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Wed Oct 30 17:21:06 GMT 2024","Wed Oct 30 17:21:10 GMT 2024","3367","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Wed Oct 30 17:20:59 GMT 2024","Wed Oct 30 17:21:02 GMT 2024","3240","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","Verify that base URL and the page title matches the expected results."
"passed","Wed Oct 30 17:21:35 GMT 2024","Wed Oct 30 17:21:41 GMT 2024","6190","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testAddWishListAlert","testAddWishListAlert",""
"passed","Wed Oct 30 17:20:35 GMT 2024","Wed Oct 30 17:20:38 GMT 2024","3487","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationDesktopMenu","TC-04 Verify that all tabs of Desktop dropdown menu work correctly as expected","C-04 Verify that all tabs of Desktop dropdown menu work correctly as expected"
"passed","Wed Oct 30 17:20:15 GMT 2024","Wed Oct 30 17:20:20 GMT 2024","4081","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationDesktopMenu","TC-04 Verify that all tabs of Desktop dropdown menu work correctly as expected","C-04 Verify that all tabs of Desktop dropdown menu work correctly as expected"
"passed","Wed Oct 30 17:20:47 GMT 2024","Wed Oct 30 17:20:51 GMT 2024","3577","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Wed Oct 30 17:20:46 GMT 2024","Wed Oct 30 17:20:50 GMT 2024","3691","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Wed Oct 30 17:21:03 GMT 2024","Wed Oct 30 17:21:09 GMT 2024","6651","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testAddWishListAlert","testAddWishListAlert",""
"unknown","Wed Oct 30 17:20:14 GMT 2024","Wed Oct 30 17:20:14 GMT 2024","0","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testRequiredFields","testRequiredFields",""
"passed","Wed Oct 30 17:21:16 GMT 2024","Wed Oct 30 17:21:21 GMT 2024","5649","CrossBrowser Test Suite","ChromeTest","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testAppleCinemaPath","testAppleCinemaPath",""
"passed","Wed Oct 30 17:21:44 GMT 2024","Wed Oct 30 17:21:49 GMT 2024","5097","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.ProductPageTest","com.opencarttest.test.ProductPageTest","testAppleCinemaName","testAppleCinemaName",""
"passed","Wed Oct 30 17:21:30 GMT 2024","Wed Oct 30 17:21:33 GMT 2024","2577","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","Verify that base URL and the page title matches the expected results."
"passed","Wed Oct 30 17:20:53 GMT 2024","Wed Oct 30 17:20:57 GMT 2024","3395","CrossBrowser Test Suite","FirefoxTest","com.opencarttest.test.NavigationTest","com.opencarttest.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
