"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 01 17:52:59 GMT 2024","Fri Nov 01 17:53:02 GMT 2024","3372","Regression","Regression Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Fri Nov 01 17:53:13 GMT 2024","Fri Nov 01 17:53:19 GMT 2024","5783","Regression","Regression Test Run on Chrome","com.opencart.test.ProductPageTest","com.opencart.test.ProductPageTest","testRedirectionToBrand","Verify redirection to brand page",""
"passed","Fri Nov 01 17:53:50 GMT 2024","Fri Nov 01 17:53:55 GMT 2024","4290","Regression","Regression Test Run on FireFox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Fri Nov 01 17:53:15 GMT 2024","Fri Nov 01 17:53:21 GMT 2024","5860","Regression","Regression Test Run on Chrome","com.opencart.test.ProductPageTest","com.opencart.test.ProductPageTest","testRequiredFields","Verify required fields in adding to shopping cart",""
"passed","Fri Nov 01 17:52:59 GMT 2024","Fri Nov 01 17:53:03 GMT 2024","3859","Regression","Regression Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationDesktopMenu","TC-04 Verify that all tabs of Desktop dropdown menu work correctly as expected","C-04 Verify that all tabs of Desktop dropdown menu work correctly as expected"
"passed","Fri Nov 01 17:53:39 GMT 2024","Fri Nov 01 17:53:45 GMT 2024","5453","Regression","Regression Test Run on FireFox","com.opencart.test.ProductPageTest","com.opencart.test.ProductPageTest","testAppleCinemaName","Verify product name",""
"passed","Fri Nov 01 17:53:48 GMT 2024","Fri Nov 01 17:53:52 GMT 2024","3671","Regression","Regression Test Run on FireFox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Fri Nov 01 17:53:25 GMT 2024","Fri Nov 01 17:53:28 GMT 2024","3569","Regression","Regression Test Run on FireFox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Fri Nov 01 17:53:07 GMT 2024","Fri Nov 01 17:53:10 GMT 2024","3862","Regression","Regression Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Fri Nov 01 17:53:42 GMT 2024","Fri Nov 01 17:53:46 GMT 2024","3653","Regression","Regression Test Run on FireFox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Fri Nov 01 17:52:59 GMT 2024","Fri Nov 01 17:53:02 GMT 2024","2922","Regression","Regression Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","Verify that base URL and the page title matches the expected results."
"passed","Fri Nov 01 17:53:11 GMT 2024","Fri Nov 01 17:53:14 GMT 2024","3589","Regression","Regression Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Fri Nov 01 17:53:26 GMT 2024","Fri Nov 01 17:53:29 GMT 2024","2734","Regression","Regression Test Run on FireFox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","Verify that base URL and the page title matches the expected results."
"passed","Fri Nov 01 17:53:34 GMT 2024","Fri Nov 01 17:53:40 GMT 2024","6447","Regression","Regression Test Run on FireFox","com.opencart.test.ProductPageTest","com.opencart.test.ProductPageTest","testAddWishListAlert","Verify alert message while adding item to wishlist by unauthorised user",""
"passed","Fri Nov 01 17:53:04 GMT 2024","Fri Nov 01 17:53:08 GMT 2024","3798","Regression","Regression Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Fri Nov 01 17:53:32 GMT 2024","Fri Nov 01 17:53:35 GMT 2024","3453","Regression","Regression Test Run on FireFox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationDesktopMenu","TC-04 Verify that all tabs of Desktop dropdown menu work correctly as expected","C-04 Verify that all tabs of Desktop dropdown menu work correctly as expected"
"passed","Fri Nov 01 17:53:09 GMT 2024","Fri Nov 01 17:53:15 GMT 2024","6151","Regression","Regression Test Run on Chrome","com.opencart.test.ProductPageTest","com.opencart.test.ProductPageTest","testAppleCinemaPath","Verify breadcrumbs",""
"passed","Fri Nov 01 17:53:25 GMT 2024","Fri Nov 01 17:53:29 GMT 2024","3738","Regression","Regression Test Run on FireFox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Fri Nov 01 17:53:07 GMT 2024","Fri Nov 01 17:53:12 GMT 2024","5270","Regression","Regression Test Run on Chrome","com.opencart.test.ProductPageTest","com.opencart.test.ProductPageTest","testAppleCinemaName","Verify product name",""
"passed","Fri Nov 01 17:53:49 GMT 2024","Fri Nov 01 17:53:55 GMT 2024","6193","Regression","Regression Test Run on FireFox","com.opencart.test.ProductPageTest","com.opencart.test.ProductPageTest","testRedirectionToBrand","Verify redirection to brand page",""
"passed","Fri Nov 01 17:53:33 GMT 2024","Fri Nov 01 17:53:36 GMT 2024","3249","Regression","Regression Test Run on FireFox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Fri Nov 01 17:52:59 GMT 2024","Fri Nov 01 17:53:03 GMT 2024","4289","Regression","Regression Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenu","TC-02 Verify that all tabs with dropdown menu of Navigation menu work correctly as expected","TC-02 Verify that all tabs of Navigation menu work correctly as expected"
"passed","Fri Nov 01 17:53:40 GMT 2024","Fri Nov 01 17:53:44 GMT 2024","3673","Regression","Regression Test Run on FireFox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
"passed","Fri Nov 01 17:53:03 GMT 2024","Fri Nov 01 17:53:06 GMT 2024","3519","Regression","Regression Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationMenuWithoutDropdown","TC-03 Verify that all tabs without dropdown menu work correctly as expected","TC-03 Verify that all tabs without dropdown menu work correctly as expected"
